arrival_rate,service rate,avg turnaround,total throughput,cpu util,avg#processes
10,25.0,0.06688040318765358,10.234223203207987,0.4044040934438443,1.2924
11,25.0,0.07110643522951252,10.909011114772612,0.43443405850498545,1.3450309938012397
12,25.0,0.0741532826437453,11.762535480379505,0.4654008546757636,1.4059564261443134
13,25.0,0.08027578851703683,12.909522932836632,0.5161443062936139,1.5053494650534947
14,25.0,0.089149292198314,13.830745822005149,0.5545335604819073,1.6662
15,25.0,0.09961346154417838,14.791123514436864,0.5888010648790707,1.8805119488051194
16,25.0,0.10901282643259444,15.97615339876363,0.6379950536705996,2.1041791641671668
17,25.0,0.11524169392980999,16.958142340293676,0.6740058382094009,2.2532746725327466
18,25.0,0.13877191376257278,17.962208167778577,0.7205043967847439,2.7425257474252573
19,25.0,0.15101540646608505,19.053566377918273,0.7479207661267562,3.1225
20,25.0,0.18084487605893554,19.712473070680627,0.7846138509680936,3.7809876049580167
21,25.0,0.2245453004163578,20.847494177596328,0.8370349803325288,4.786321367863214
22,25.0,0.37519265641702076,21.95724513507249,0.8658717423541457,8.5516
23,25.0,0.49024989553866555,23.21188337033271,0.9287970785168729,11.36125549780088
24,25.0,0.6939754040876123,23.699072758012313,0.9442961356503468,16.626305840214904
25,25.0,3.3516057755163513,24.43128405233466,0.9884203980939675,83.60766817022946
26,25.0,12.143128865721707,25.057346739340407,0.9993546974676443,321.11366852183755
27,25.0,12.808251344658137,25.30303608161269,0.9973270266028876,346.80494633691086
28,25.0,21.261572661137475,24.960236838502343,0.9999449359877176,591.8961724199606
29,25.0,22.02279595113343,25.418182260485295,0.999813105326604,634.9503934919092
30,25.0,33.22582498703962,25.194383462740014,0.9998106089290466,1001.4128279883382
