arrival_rate,service rate,avg turnaround,total throughput,cpu util,avg#processes
10,25.0,0.0525966738856397,10.11691749308483,0.4069404853697224,1.1209
11,25.0,0.05461966488138721,11.00095591727116,0.4447140237026901,1.156
12,25.0,0.055682143564080556,11.781525733246266,0.47527703493839096,1.1719
13,25.0,0.05982768931003145,13.199681003756355,0.5316790570033263,1.2628
14,25.0,0.06182650141098958,14.177124908875097,0.5651497847841085,1.309069093090691
15,25.0,0.06495684656210153,15.015467789973464,0.5979510567370121,1.3926607339266073
16,25.0,0.06756868075766924,16.111785297952164,0.6456837415084535,1.4385561443855615
17,25.0,0.08084379909042123,16.996236143420205,0.6926313359376937,1.6981905428371489
18,25.0,0.08123730517444581,18.039450356260705,0.7192242825181395,1.7554489102179565
19,25.0,0.08010139190272779,18.972693091433808,0.7435507046686284,1.7697230276972302
20,25.0,0.09542614227850711,19.65450508201594,0.7859806465747796,2.1050369778133122
21,25.0,0.10284135124670789,21.085453638136038,0.8342130632445169,2.3234353129374123
22,25.0,0.12892617632353437,21.84211369484236,0.8770532826071209,2.9579210394802598
23,25.0,0.18128023636079596,23.093371421926847,0.9167451042712137,4.27124575084983
24,25.0,0.2408868284578911,24.146238920066452,0.957816605320735,5.92845723421263
25,25.0,0.49154338705499095,25.126363145219425,0.9985548726508758,17.953193612774452
26,25.0,0.4653795300432823,25.55912764187617,0.9999193179986483,45.393169181890386
27,25.0,0.505398919500098,26.334071730291818,0.9969816021477549,65.04473190480893
28,25.0,0.48415654320340445,27.493804251278153,0.9990927435768105,141.21375754037751
29,25.0,0.6902960789410293,27.838910270168878,0.9997621494033324,168.1374975826726
30,25.0,0.9441891718602153,28.745034161070407,0.9998724435746376,227.98116109188774
