arrival_rate,service rate,avg turnaround,total throughput,cpu util,avg#processes
10,25.0,0.06600286008936013,10.153205536738351,0.4032201984113016,1.2629
11,25.0,0.0715034246158512,11.009490812387462,0.4373417567906064,1.3545
12,25.0,0.07830302646516482,12.212293995629523,0.4877325300272627,1.4797040591881623
13,25.0,0.08424133559000221,13.083768559351189,0.5246217144196528,1.5821
14,25.0,0.08905296751613535,14.026700907654678,0.5566639752085225,1.7074755146911853
15,25.0,0.10599157102927584,15.209776842801949,0.6146929318850683,2.0056994300569944
16,25.0,0.11508520526123062,16.03150005320849,0.6495386900782704,2.1857
17,25.0,0.12285912643818925,16.735593871710996,0.6675187331251226,2.364127174565087
18,25.0,0.13899792730020363,18.14141738393803,0.7264579723794932,2.7765
19,25.0,0.17872024694289063,19.129545376187103,0.7786509203055862,3.61127774445111
20,25.0,0.16604169682961079,19.67382120280046,0.7760033013690828,3.443533879672197
21,25.0,0.19216259148851786,20.829287829469934,0.8255286928146837,4.104689531046895
22,25.0,0.33337325114252414,22.09330878408025,0.8931242962127072,7.38982712101529
23,25.0,0.6777281646235261,22.931746547528515,0.9401089039854547,15.629459378435095
24,25.0,0.7070936823368309,23.85178761152175,0.9574332870627553,16.771845630873827
25,25.0,4.024562783499202,24.736135032884846,0.9927300356860124,100.40584864651255
26,25.0,6.787398383911386,25.01020768078849,0.9992260332229177,181.68486424032352
27,25.0,18.044640787539038,24.818340950598536,0.9999591400626654,523.5692839596034
28,25.0,24.06726021469111,24.797541957474067,0.9996720043468638,713.8314267979073
29,25.0,28.927429216638917,24.69533964853818,0.9999524004910616,934.1017178640941
30,25.0,34.33156029297492,24.762929306726427,0.9999212796096247,1219.841354292624
