arrival_rate,service rate,avg turnaround,total throughput,cpu util,avg#processes
10,25.0,0.061064051051317667,9.993026386734092,0.39643739012964274,1.2083
11,25.0,0.06358392318899969,10.902214515139967,0.43334816120576686,1.2607
12,25.0,0.06715844852857067,12.05452221417195,0.473317526088568,1.3301
13,25.0,0.07089020637587999,12.850892177981297,0.507687475363035,1.396780965710287
14,25.0,0.08097052700307748,14.010056612218465,0.5699752160705784,1.5586
15,25.0,0.08629866365621162,15.000145162952697,0.6039747407549659,1.677132286771323
16,25.0,0.09078306836166027,15.72672437679385,0.6332826918193745,1.832
17,25.0,0.09619784372249134,16.983686416436523,0.679332770846117,1.9614038596140386
18,25.0,0.10503894841028054,18.173757330497395,0.7239141103340413,2.1748825117488253
19,25.0,0.1255618722019018,18.96349368589443,0.7600378551925367,2.6336366363363664
20,25.0,0.13682390531480015,19.90207731216614,0.8051832248013192,2.9203159368126377
21,25.0,0.20630145996156052,21.230156819673194,0.8660549059972791,4.4743102758896445
22,25.0,0.22265645571467058,21.791536531363572,0.8776964993135483,5.000699720111955
23,25.0,0.31409036499257176,22.84930949104276,0.9231071987056826,7.2726273726273725
24,25.0,0.47977019777197394,24.3066454193895,0.9663563994252815,11.70442513235441
25,25.0,2.6385255478695475,24.74840144604217,0.9976403538068818,66.23529411764706
26,25.0,3.9009913563340395,25.48068527479573,0.9962670093904779,106.031652989449
27,25.0,8.135970179186726,26.1026282735634,0.9988315270022472,231.50133817625692
28,25.0,11.043796355278467,26.50157160349824,0.9995453101489877,337.2752404968712
29,25.0,12.442877398497458,26.88189825174322,0.999753798186428,395.4262538240475
30,25.0,12.750875425461574,27.48812346528872,0.9982216383488052,416.09595354410544
