arrival_rate,service rate,avg turnaround,total throughput,cpu util,avg#processes
10,25.0,0.06604002458327593,9.870815294381607,0.39165797061642477,1.2681
11,25.0,0.06954526161694852,11.066777827549876,0.43993143469878593,1.3211036688993303
12,25.0,0.07760807164019926,11.973175918721553,0.47723108366823164,1.4511097780443911
13,25.0,0.08022876827779801,12.91447123802896,0.51250553007636,1.5108
14,25.0,0.08978374333461143,14.053807771485566,0.5624233736786223,1.699030096990301
15,25.0,0.09754991162871363,14.776399191962776,0.5952892429006759,1.8312
16,25.0,0.10367086136719277,15.708081837653538,0.628220914238948,1.9776022397760225
17,25.0,0.12084351778605305,16.809480787526688,0.668927441465793,2.3549225387306345
18,25.0,0.14163177045485473,17.7917805781198,0.7065514610190571,2.8338
19,25.0,0.1533679615897206,19.075186293337843,0.7537875196384769,3.1325
20,25.0,0.2235688809218499,19.908228129793645,0.8046762180992991,4.656702989103269
21,25.0,0.2259471911084976,21.199515531140424,0.8428219705079827,4.8635
22,25.0,0.3449753153291699,22.203429802540775,0.8748931969777594,7.88593421973408
23,25.0,0.5100610605983261,23.03514974173262,0.9226405577426811,11.773735758544873
24,25.0,1.0684703720380644,23.963368790569078,0.9718042174063342,25.603493013972056
25,25.0,2.4588994134904674,24.754177405032944,0.9834565455065278,60.99670131947221
26,25.0,3.647038906901089,25.203666673250435,0.9952113876992836,94.19504795458994
27,25.0,11.829196726522953,25.494836547410344,0.9985492693060151,319.23902027027026
28,25.0,18.021069594574797,25.195916731163972,0.9995004042921556,505.454051607062
29,25.0,27.113697363153555,25.27654938547543,0.999474906220832,781.6812299140103
30,25.0,31.84751419777949,24.91089309905545,0.998899537073838,965.5361631294215
